,V_ID,kmeans_all_9,kmeans_nocity&county_6,kmeans_nocity_6,c_,j_,ht_,s_,cs_,e_
1066,63000040-009,5,5,4,6,14,0,0,1,1
1067,63000040-032,5,5,4,13,5,0,0,1,1
1068,63000040-025,5,5,4,18,12,0,0,1,1
1069,63000040-026,8,1,3,1,20,0,0,0,13
1070,63000040-024,5,4,4,6,12,0,0,1,1
1071,63000040-041,5,3,0,10,2,0,0,1,15
1072,63000040-008,5,3,0,13,18,0,0,1,14
1073,63000040-035,5,5,4,9,5,0,0,1,13
1074,63000050-031,5,5,4,18,7,0,0,1,1
1075,63000050-023,5,5,4,2,19,0,0,1,1
1076,63000050-019,5,5,4,12,7,0,0,1,1
1077,63000050-017,5,3,0,7,19,0,0,1,14
1078,63000050-002,0,3,0,7,10,0,0,1,6
1079,63000050-027,5,5,4,5,5,0,0,1,1
1080,63000050-026,0,3,0,2,5,0,0,1,4
1081,63000050-015,7,1,3,23,19,1,0,0,13
1082,63000050-022,5,3,0,19,10,0,0,1,8
1083,63000050-014,7,1,3,23,15,1,0,0,13
1084,63000050-016,5,5,4,1,19,0,0,1,13
1085,63000050-029,7,3,0,6,7,0,0,0,4
1086,63000050-003,0,3,0,14,19,0,0,1,12
1087,63000050-030,5,5,4,12,7,0,0,1,13
1088,63000050-021,5,5,4,12,7,0,0,1,1
1089,63000050-028,5,5,4,15,5,0,0,1,11
1090,63000050-008,5,5,4,6,19,0,0,1,13
1091,63000050-004,0,3,0,2,19,0,1,1,6
1092,63000050-025,5,5,4,7,19,0,0,1,11
1093,63000050-001,0,3,0,7,19,0,0,1,6
1094,63000050-011,7,1,3,23,0,0,1,0,1
1095,63000050-012,7,1,3,6,11,0,1,0,13
1096,63000050-005,0,3,0,6,5,0,1,1,6
1097,63000050-007,7,2,0,6,5,0,1,0,6
1098,63000050-009,0,4,4,6,5,0,1,1,13
1099,63000050-010,7,1,3,5,14,0,1,0,3
1100,63000050-006,5,5,4,6,5,0,0,1,13
1101,63000050-024,5,5,4,7,19,0,0,1,11
1102,63000050-018,0,3,0,5,19,0,1,1,12
1103,63000050-020,5,3,0,18,2,0,0,1,4
1104,63000050-013,7,1,3,23,19,0,1,0,13
1105,63000020-030,5,3,0,18,2,1,0,1,4
1106,63000020-031,0,3,0,7,5,1,0,1,8
1107,63000020-024,7,0,0,6,14,1,0,1,14
1108,63000020-004,5,5,4,1,19,0,0,1,13
1109,63000020-025,7,0,0,10,18,1,0,1,8
1110,63000020-013,5,5,4,23,14,1,0,1,13
1111,63000020-012,5,5,4,1,14,1,0,1,13
1112,63000020-032,7,0,2,15,2,1,0,0,5
1113,63000020-010,5,5,4,22,14,1,0,1,13
1114,63000020-037,7,0,0,22,19,0,0,0,12
1115,63000020-017,5,5,4,9,13,1,0,1,13
1116,63000020-016,5,5,4,6,14,1,0,1,1
1117,63000020-020,5,5,4,12,2,1,0,1,13
1118,63000020-027,7,0,0,6,14,1,0,1,12
1119,63000020-026,5,5,4,23,13,1,0,1,13
1120,63000020-009,5,5,4,18,7,1,0,1,11
1121,63000020-019,8,2,1,1,19,1,2,0,13
1122,63000020-008,5,5,4,12,7,1,0,1,1
1123,63000020-029,0,3,0,13,18,0,0,1,14
1124,63000020-007,5,5,4,23,5,1,0,1,13
1125,63000020-005,5,5,4,7,5,0,0,1,11
1126,63000020-035,7,0,0,5,14,0,0,1,4
1127,63000020-028,5,3,0,5,5,1,0,1,4
1128,63000020-034,5,5,4,6,5,0,0,1,13
1129,63000020-023,5,5,4,6,13,1,0,1,13
1130,63000020-022,7,0,0,18,13,1,0,1,4
1131,63000020-021,7,0,2,19,10,1,1,0,8
1132,63000020-002,5,5,4,23,5,0,0,1,13
1133,63000020-014,5,5,4,1,20,1,0,1,13
1134,63000020-018,5,5,4,6,14,1,0,1,1
1135,63000020-033,7,0,2,13,0,0,0,0,8
1136,63000020-003,5,5,4,7,19,0,0,1,1
1137,63000020-006,5,5,4,13,5,1,0,1,1
1138,63000020-001,5,5,4,7,13,0,0,1,11
1139,63000020-015,5,5,4,6,14,1,0,1,13
1140,63000020-011,5,5,4,5,13,1,0,1,1
1141,63000020-036,0,3,0,18,13,1,0,1,4
1142,63000020-041,0,3,0,8,9,1,0,1,8
1143,63000020-039,0,3,0,12,2,0,0,1,12
1144,63000020-040,0,3,0,6,14,0,0,1,12
1145,63000020-038,0,3,0,5,19,0,0,1,4
1146,63000100-022,0,3,0,18,12,1,0,1,6
1147,63000100-009,0,3,0,6,13,1,1,1,12
1148,63000100-025,8,2,1,15,14,1,1,0,0
1149,63000100-040,0,3,0,2,5,1,1,1,14
1150,63000100-012,0,3,0,15,5,1,1,1,0
1151,63000100-033,8,2,1,15,0,1,1,0,5
1152,63000100-031,0,3,0,12,18,1,1,1,12
1153,63000100-039,7,0,2,10,7,0,0,0,5
1154,63000100-035,0,3,0,18,18,1,1,1,4
1155,63000100-036,0,3,0,12,13,1,1,1,12
1156,63000100-023,7,0,0,12,0,1,1,1,12
1157,63000100-024,8,2,1,12,0,1,1,0,4
1158,63000100-017,0,3,0,18,7,1,1,1,14
1159,63000100-005,0,3,0,15,13,1,1,1,8
1160,63000100-007,0,3,0,18,18,1,1,1,14
1161,63000100-008,0,3,0,10,2,1,1,1,8
1162,63000100-006,5,4,4,23,13,1,1,1,13
1163,63000100-030,7,0,2,15,13,1,0,0,2
1164,63000100-010,0,3,0,10,2,1,0,1,8
1165,63000100-029,7,0,0,10,0,0,0,1,8
1166,63000100-021,0,3,0,5,13,0,0,0,12
1167,63000100-020,0,3,0,18,2,0,0,1,4
1168,63000100-028,7,0,2,15,19,1,0,0,15
1169,63000100-015,0,3,0,15,18,1,1,1,0
1170,63000100-032,0,3,0,13,2,1,1,1,14
1171,63000100-011,0,3,0,18,18,0,0,1,4
1172,63000100-019,0,3,0,13,2,0,0,1,14
1173,63000100-016,7,0,0,13,0,0,0,1,14
1174,63000100-018,0,3,0,18,2,1,1,1,4
1175,63000100-037,0,3,0,19,4,1,0,1,15
1176,63000100-027,7,0,0,13,12,1,0,1,6
1177,63000100-003,0,3,0,15,2,1,0,1,5
1178,63000100-002,0,3,0,10,2,1,0,1,5
1179,63000100-001,0,3,0,13,18,1,0,1,14
1180,63000100-026,5,5,4,13,18,1,0,0,11
1181,63000100-034,0,3,0,10,7,0,0,1,8
1182,63000100-014,2,2,1,15,18,1,1,0,10
1183,63000100-013,0,3,0,5,14,1,1,1,12
1184,63000100-038,0,3,0,18,13,1,1,1,4
1185,63000120-037,0,3,0,10,12,0,1,1,10
1186,63000120-030,8,2,1,5,14,1,0,0,4
1187,63000120-022,0,3,0,18,12,1,1,1,4
1188,63000120-028,0,3,0,6,20,1,0,1,12
1189,63000120-027,0,3,0,13,18,1,1,1,14
1190,63000120-018,0,3,0,15,0,1,1,1,7
1191,63000120-013,0,2,0,18,18,1,1,0,4
1192,63000120-014,8,2,1,2,13,1,1,0,14
1193,63000120-024,0,3,0,15,0,1,1,1,8
1194,63000120-041,7,0,2,0,4,1,0,0,0
1195,63000120-020,0,3,0,10,18,1,1,1,10
1196,63000120-015,0,4,4,23,14,1,1,1,13
1197,63000120-001,0,3,0,7,14,1,1,1,15
1198,63000120-008,0,3,0,18,18,1,1,1,4
1199,63000120-033,0,3,0,2,19,1,0,1,14
1200,63000120-002,0,4,4,6,14,1,1,1,13
1201,63000120-031,0,0,0,23,0,1,0,0,12
1202,63000120-012,0,3,0,2,14,1,1,1,8
1203,63000120-026,7,0,0,7,10,1,1,1,5
1204,63000120-036,0,3,0,15,11,1,0,1,5
1205,63000120-005,0,3,0,12,0,1,1,1,12
1206,63000120-006,0,3,0,13,2,1,1,1,14
1207,63000120-009,8,2,1,10,2,1,1,0,5
1208,63000120-011,8,1,3,23,13,1,1,0,13
1209,63000120-010,8,2,1,10,7,1,1,0,8
1210,63000120-039,2,2,1,8,9,1,2,0,9
1211,63000120-019,8,2,1,19,9,1,1,0,2
1212,63000120-021,0,3,0,18,15,1,1,1,4
1213,63000120-040,8,2,1,8,4,1,0,0,0
1214,63000120-042,8,2,1,8,4,1,0,0,9
1215,63000120-025,0,3,0,18,0,1,1,1,4
1216,63000120-003,0,4,4,23,14,1,1,1,13
1217,63000120-004,0,2,0,13,0,1,1,0,14
1218,63000120-032,8,2,1,7,20,1,0,0,5
1219,63000120-035,0,3,0,15,11,1,0,1,5
1220,63000120-016,0,3,0,2,14,1,1,1,14
1221,63000120-017,0,3,0,18,0,1,1,1,14
1222,63000120-007,0,3,0,18,18,1,1,1,4
1223,63000120-034,0,3,0,15,11,1,0,1,8
1224,63000120-023,0,3,0,18,0,1,1,1,4
1225,63000120-029,0,3,0,13,0,1,0,1,14
1226,63000120-038,0,3,0,10,12,1,1,1,2
1227,63000090-004,0,3,0,10,2,1,0,1,15
1228,63000090-002,0,3,0,15,20,1,0,1,10
1229,63000090-017,7,0,2,10,18,1,0,0,8
1230,63000090-018,2,2,1,15,0,1,1,0,9
1231,63000090-019,7,0,2,2,0,1,0,0,14
1232,63000090-001,5,5,4,13,0,1,0,1,11
1233,63000090-010,5,5,4,13,0,1,0,1,1
1234,63000090-011,7,0,0,13,0,1,0,1,14
1235,63000090-006,0,3,0,7,14,1,0,1,5
1236,63000090-003,0,3,0,5,20,1,0,1,4
1237,63000090-005,7,0,0,18,12,1,0,1,4
1238,63000090-007,0,3,0,2,13,1,0,1,14
1239,63000090-009,0,3,0,2,0,1,0,1,6
1240,63000090-014,7,0,2,13,11,1,0,0,4
1241,63000090-015,0,3,0,6,14,1,0,1,12
1242,63000090-016,7,0,2,10,15,1,0,0,9
1243,63000090-012,5,5,4,6,14,1,0,1,13
1244,63000090-008,0,3,0,2,11,1,0,1,14
1245,63000090-020,7,5,4,2,5,1,0,1,3
1246,63000090-013,5,5,4,1,14,1,0,1,13
1247,63000110-033,7,0,2,13,13,1,1,0,8
1248,63000110-001,5,5,4,5,20,1,0,1,13
1249,63000110-044,8,2,1,0,4,1,1,0,10
1250,63000110-010,0,3,0,5,14,1,0,1,12
1251,63000110-026,0,3,0,13,2,1,0,1,14
1252,63000110-039,8,2,1,13,2,1,2,0,14
1253,63000110-038,7,2,1,5,5,1,1,0,4
1254,63000110-040,8,2,1,18,2,1,2,0,12
1255,63000110-042,7,0,2,15,2,1,0,0,10
1256,63000110-041,8,2,1,18,7,1,1,0,4
1257,63000110-037,7,1,3,6,5,1,1,0,1
1258,63000110-036,7,1,3,18,13,1,1,0,1
1259,63000110-016,7,0,2,13,8,1,0,0,6
1260,63000110-024,7,0,2,15,3,1,1,0,7
1261,63000110-025,7,0,2,7,19,1,0,0,14
1262,63000110-048,2,2,1,0,4,1,1,0,9
1263,63000110-008,7,0,2,13,12,1,0,0,6
1264,63000110-028,5,5,4,13,13,1,0,1,1
1265,63000110-027,0,3,0,5,14,1,0,1,4
1266,63000110-030,5,4,4,6,5,1,1,1,1
1267,63000110-012,0,3,0,23,13,1,0,1,12
1268,63000110-045,7,2,1,8,10,1,1,0,10
1269,63000110-014,7,0,0,13,14,1,0,1,6
1270,63000110-032,7,2,1,15,13,1,1,0,5
1271,63000110-022,8,2,1,13,8,1,1,0,15
1272,63000110-043,7,0,2,8,10,1,0,0,5
1273,63000110-049,2,2,1,0,4,1,1,0,9
1274,63000110-011,7,3,0,12,0,1,0,0,6
1275,63000110-021,8,2,1,18,8,1,1,0,6
1276,63000110-019,7,0,2,13,8,1,0,0,6
1277,63000110-020,7,1,3,18,15,1,0,0,3
1278,63000110-009,7,0,2,18,0,1,0,0,6
1279,63000110-007,0,3,0,13,18,1,0,1,6
1280,63000110-023,7,0,2,15,3,1,1,0,7
1281,63000110-004,0,3,0,13,0,1,0,1,4
1282,63000110-005,0,3,0,13,2,1,0,1,14
1283,63000110-003,0,3,0,7,10,0,0,1,10
1284,63000110-013,7,0,0,23,8,1,0,1,6
1285,63000110-015,7,1,3,5,11,1,0,0,3
1286,63000110-002,0,3,0,2,10,1,0,1,4
1287,63000110-050,7,0,2,8,19,1,1,0,5
1288,63000110-029,7,1,3,23,13,1,1,0,13
1289,63000110-051,7,0,2,7,19,1,0,0,10
1290,63000110-006,0,3,0,6,18,1,0,1,12
1291,63000110-031,7,0,2,10,2,1,0,0,5
1292,63000110-047,8,2,1,0,4,1,0,0,9
1293,63000110-018,7,1,3,5,20,1,0,0,3
1294,63000110-017,7,0,2,18,12,1,0,0,6
1295,63000110-035,0,3,0,13,2,1,1,1,4
1296,63000110-034,7,0,0,18,2,1,1,1,4
1297,63000110-046,7,0,2,8,10,1,0,0,10
1298,63000060-026,0,3,0,5,20,0,1,1,4
1299,63000060-008,5,5,4,23,11,0,0,1,13
1300,63000060-012,5,5,4,5,20,0,0,1,3
1301,63000060-018,5,5,4,1,14,0,0,1,13
1302,63000060-017,7,5,4,14,1,0,0,1,3
1303,63000060-009,5,5,4,5,11,0,0,1,1
1304,63000060-010,5,5,4,6,20,0,0,1,13
1305,63000060-003,5,5,4,6,11,0,0,1,13
1306,63000060-002,5,5,4,5,14,0,0,1,1
1307,63000060-004,5,5,4,5,14,0,0,1,13
1308,63000060-019,5,5,4,22,17,0,0,1,13
1309,63000060-020,5,5,4,23,8,0,0,1,13
1310,63000060-007,5,5,4,18,0,0,0,1,1
1311,63000060-014,5,5,4,14,9,0,0,1,3
1312,63000060-006,5,5,4,6,14,0,0,1,13
1313,63000060-013,5,5,4,18,0,0,0,1,1
1314,63000060-005,5,5,4,5,0,0,0,1,1
1315,63000060-001,5,3,0,7,10,0,0,1,14
1316,63000060-024,7,0,2,13,8,0,0,0,15
1317,63000060-022,5,5,4,18,12,0,0,1,1
1318,63000060-016,5,5,4,5,0,0,0,1,1
1319,63000060-021,7,1,3,13,8,0,0,0,3
1320,63000060-025,0,3,0,13,0,0,0,1,6
1321,63000060-015,5,5,4,5,20,0,0,1,13
1322,63000060-011,5,5,4,12,12,0,0,1,1
1323,63000030-005,5,3,0,5,5,0,0,1,4
1324,63000030-002,5,5,4,23,7,0,0,1,13
1325,63000030-029,5,3,0,6,13,0,0,1,12
1326,63000030-056,5,5,4,12,7,0,0,1,1
1327,63000030-019,5,5,4,5,5,0,0,1,13
1328,63000030-010,5,3,0,18,7,0,0,1,4
1329,63000030-035,5,3,0,6,5,0,0,1,12
1330,63000030-014,5,5,4,18,7,0,0,1,1
1331,63000030-013,5,5,4,1,5,0,0,1,13
1332,63000030-003,5,3,0,18,7,0,0,1,4
1333,63000030-043,5,5,4,18,7,0,0,1,1
1334,63000030-057,5,3,0,8,10,0,0,1,10
1335,63000030-050,5,3,0,6,7,0,0,1,12
1336,63000030-049,5,3,0,6,5,0,0,1,12
1337,63000030-001,5,3,0,6,7,0,0,1,12
1338,63000030-051,5,3,0,18,7,0,0,1,4
1339,63000030-053,5,5,4,23,7,0,0,1,1
1340,63000030-023,5,5,4,12,7,0,0,1,13
1341,63000030-008,5,5,4,14,19,0,0,1,1
1342,63000030-052,5,5,4,23,5,0,0,1,13
1343,63000030-004,5,3,0,18,7,0,0,1,4
1344,63000030-007,5,3,0,13,2,0,0,1,14
1345,63000030-018,5,5,4,1,5,0,0,1,13
1346,63000030-034,5,5,4,6,5,0,0,1,13
1347,63000030-017,5,3,0,12,7,1,0,1,12
1348,63000030-037,5,5,4,9,7,0,0,1,13
1349,63000030-036,5,3,0,6,7,0,0,1,12
1350,63000030-030,5,3,0,6,7,0,0,1,4
1351,63000030-006,5,3,0,6,5,0,0,1,4
1352,63000030-039,0,3,0,19,19,0,0,1,4
1353,63000030-033,5,5,4,22,14,0,0,1,13
1354,63000030-044,5,5,4,13,13,0,0,1,1
1355,63000030-054,5,5,4,5,5,0,0,1,1
1356,63000030-038,5,5,4,5,5,0,0,1,1
1357,63000030-009,5,5,4,6,5,0,0,1,13
1358,63000030-055,5,5,4,23,7,0,0,1,13
1359,63000030-031,5,5,4,23,18,0,0,1,13
1360,63000030-032,5,5,4,23,13,0,0,1,13
1361,63000030-016,5,5,4,18,7,0,0,1,1
1362,63000030-020,5,5,4,5,5,0,0,1,1
1363,63000030-021,5,5,4,23,7,0,0,1,13
1364,63000030-046,0,3,0,13,0,0,1,1,4
1365,63000030-048,0,3,0,7,13,0,0,1,14
1366,63000030-047,0,4,0,13,2,0,1,1,4
1367,63000030-022,5,5,4,18,7,0,0,1,1
1368,63000030-011,5,5,4,6,7,0,0,1,1
1369,63000030-015,5,3,0,12,2,1,0,1,4
1370,63000030-012,5,5,4,23,5,0,0,1,13
1371,63000030-040,0,3,0,12,7,0,0,1,4
1372,63000030-028,5,5,4,12,7,0,0,1,13
1373,63000030-041,5,5,4,2,5,0,0,1,11
1374,63000030-026,5,5,4,6,5,0,0,1,13
1375,63000030-027,5,3,0,6,5,0,0,1,12
1376,63000080-034,0,3,0,15,13,1,0,1,0
1377,63000080-038,7,0,2,5,19,1,0,0,12
1378,63000080-036,7,2,1,15,14,1,1,0,9
1379,63000080-040,7,0,2,10,7,1,1,0,0
1380,63000080-025,7,0,2,5,11,1,0,0,4
1381,63000080-026,7,0,2,18,18,1,0,0,4
1382,63000080-005,0,3,0,2,19,1,0,1,6
1383,63000080-004,0,3,0,13,18,1,0,1,6
1384,63000080-002,7,0,0,18,13,1,0,1,4
1385,63000080-003,0,3,0,5,5,1,0,1,4
1386,63000080-006,0,3,0,18,13,1,0,1,4
1387,63000080-001,0,3,0,18,18,1,0,1,4
1388,63000080-028,7,0,2,18,12,1,0,0,14
1389,63000080-027,7,0,0,13,2,1,0,1,8
1390,63000080-041,7,0,2,18,18,1,0,0,4
1391,63000080-031,7,0,2,18,13,1,0,0,4
1392,63000080-030,7,0,2,18,2,1,0,0,4
1393,63000080-043,7,1,3,9,14,1,0,0,13
1394,63000080-032,7,0,2,18,13,1,0,0,4
1395,63000080-037,7,0,2,0,4,1,0,0,0
1396,63000080-014,0,3,0,7,19,1,0,1,14
1397,63000080-018,7,0,2,18,2,1,0,0,4
1398,63000080-015,7,3,0,12,18,1,0,0,12
1399,63000080-016,0,3,0,2,13,1,0,1,8
1400,63000080-020,7,0,0,13,18,0,0,1,14
1401,63000080-022,0,3,0,13,2,1,0,1,8
1402,63000080-017,7,0,0,6,13,1,1,1,12
1403,63000080-021,0,3,0,7,19,1,0,1,14
1404,63000080-019,7,5,4,23,13,1,0,1,13
1405,63000080-013,0,3,0,5,13,1,0,1,4
1406,63000080-042,7,0,2,5,13,1,1,0,4
1407,63000080-024,7,0,0,10,2,1,0,1,8
1408,63000080-011,0,3,0,7,19,1,0,1,6
1409,63000080-010,0,3,0,13,5,0,0,1,6
1410,63000080-007,0,3,0,18,5,1,0,1,12
1411,63000080-012,0,3,0,2,13,1,0,1,14
1412,63000080-008,7,5,4,23,19,1,0,1,13
1413,63000080-039,0,3,0,13,18,1,0,1,8
1414,63000080-035,0,3,0,10,2,1,0,1,0
1415,63000080-033,0,3,0,18,18,1,0,1,14
1416,63000080-009,5,5,4,12,2,1,0,1,13
1417,63000080-023,7,0,0,13,2,1,0,1,14
1418,63000080-029,7,0,2,12,0,1,0,0,12
1419,63000010-004,7,0,2,23,7,0,0,0,12
1420,63000010-027,5,5,4,23,19,0,0,1,13
1421,63000010-026,5,3,0,18,7,0,0,1,14
1422,63000010-015,5,3,0,18,7,0,0,1,4
1423,63000010-009,7,1,3,1,5,0,0,0,1
1424,63000010-029,5,5,4,9,19,0,0,1,13
1425,63000010-022,5,5,4,18,2,0,0,1,1
1426,63000010-019,5,5,4,18,18,0,0,1,1
1427,63000010-008,7,0,2,9,5,0,0,0,12
1428,63000010-006,7,0,2,23,5,0,1,0,12
1429,63000010-033,5,5,4,23,5,0,0,1,1
1430,63000010-032,5,5,4,23,5,0,0,1,13
1431,63000010-031,5,5,4,22,19,0,0,1,13
1432,63000010-025,5,5,4,6,13,0,0,1,1
1433,63000010-018,0,3,0,13,12,1,0,1,6
1434,63000010-030,7,3,0,12,2,0,0,1,12
1435,63000010-007,7,1,3,2,13,0,0,0,1
1436,63000010-005,7,1,3,6,13,1,1,0,13
1437,63000010-024,5,5,4,12,2,1,0,1,1
1438,63000010-011,5,5,4,6,2,0,0,1,1
1439,63000010-014,5,5,4,23,5,0,0,1,13
1440,63000010-013,7,1,4,22,19,0,1,1,13
1441,63000010-003,7,0,0,18,7,0,1,1,4
1442,63000010-035,5,3,0,5,19,0,0,1,4
1443,63000010-016,5,3,0,18,7,0,0,1,4
1444,63000010-017,5,5,4,6,13,0,0,1,1
1445,63000010-034,7,3,0,1,19,0,0,1,12
1446,63000010-010,0,3,0,15,5,0,0,1,10
1447,63000010-028,0,3,0,2,19,0,0,1,4
1448,63000010-021,5,5,4,12,7,0,0,1,1
1449,63000010-002,7,0,2,15,14,0,0,0,2
1450,63000010-020,5,5,4,6,13,0,0,1,1
1451,63000010-012,5,5,4,12,7,0,0,1,1
1452,63000070-009,5,5,4,6,14,0,0,1,13
1453,63000070-027,7,1,3,22,20,1,0,0,13
1454,63000070-026,7,1,3,1,20,1,0,0,13
1455,63000070-035,7,1,3,9,1,1,1,0,13
1456,63000070-016,5,5,4,6,3,0,0,1,1
1457,63000070-024,7,0,2,18,15,0,0,0,6
1458,63000070-030,7,1,3,23,11,1,0,0,13
1459,63000070-023,7,0,2,1,1,1,0,0,6
1460,63000070-007,5,5,4,6,11,0,0,1,13
1461,63000070-010,5,5,4,6,3,0,0,1,1
1462,63000070-022,7,1,3,23,11,0,0,0,13
1463,63000070-034,7,0,2,9,11,1,0,0,12
1464,63000070-014,7,0,2,12,18,1,0,0,12
1465,63000070-021,7,1,3,23,8,1,0,0,13
1466,63000070-013,7,1,3,22,10,1,0,0,13
1467,63000070-004,5,5,4,6,0,0,0,1,13
1468,63000070-020,7,1,3,5,20,1,0,0,1
1469,63000070-033,7,0,2,6,11,1,0,0,6
1470,63000070-019,7,0,0,7,3,0,0,1,15
1471,63000070-029,7,0,2,5,1,1,0,0,6
1472,63000070-001,0,3,0,5,11,0,0,1,6
1473,63000070-008,5,5,4,1,20,0,0,1,13
1474,63000070-015,8,2,1,6,11,1,2,0,13
1475,63000070-017,7,1,3,5,17,0,0,0,1
1476,63000070-031,7,0,2,15,17,1,0,0,15
1477,63000070-005,7,0,0,13,8,0,0,0,14
1478,63000070-032,7,0,2,13,8,1,0,0,15
1479,63000070-018,7,0,2,13,15,0,0,0,6
1480,63000070-002,5,5,4,14,20,0,0,1,3
1481,63000070-003,5,5,4,5,14,0,0,1,1
1482,63000070-028,7,0,2,6,11,1,0,0,6
1483,63000070-025,7,0,2,6,8,1,0,0,6
1484,63000070-012,5,5,4,5,11,1,0,1,1
1485,63000070-006,0,3,0,13,8,0,0,1,6
1486,63000070-011,5,5,4,18,12,1,0,1,1
1487,63000070-036,7,0,2,7,10,0,0,0,6
